,Company,Date,Sentiment,Total Mentions
217,TSLA,2019-03-14,6.383199999999999,21
218,S&P500,2019-03-14,0,0
219,GME,2019-03-15,0,0
220,TSLA,2019-03-15,0.3913999999999996,35
221,S&P500,2019-03-15,0,0
222,GME,2019-03-16,0,0
223,TSLA,2019-03-16,0,0
224,S&P500,2019-03-16,0,0
225,GME,2019-03-17,0,0
226,TSLA,2019-03-17,-0.47480000000000006,4
227,S&P500,2019-03-17,0,0
228,GME,2019-03-18,0,0
229,TSLA,2019-03-18,-0.8749,5
230,S&P500,2019-03-18,0,0
231,GME,2019-03-19,0,0
232,TSLA,2019-03-19,-4.793699999999999,22
233,S&P500,2019-03-19,0,0
234,GME,2019-03-20,0,0
235,TSLA,2019-03-20,1.9363,16
236,S&P500,2019-03-20,0,0
237,GME,2019-03-21,0.9136,1
238,TSLA,2019-03-21,0.11740000000000006,21
239,S&P500,2019-03-21,0,0
240,GME,2019-03-22,1.2738,2
241,TSLA,2019-03-22,0.8659000000000001,10
242,S&P500,2019-03-22,0,0
243,GME,2019-03-23,0,0
244,TSLA,2019-03-23,0.8713000000000001,19
245,S&P500,2019-03-23,0,0
246,GME,2019-03-24,0,0
247,TSLA,2019-03-24,0,0
248,S&P500,2019-03-24,0,0
249,GME,2019-03-25,0,0
250,TSLA,2019-03-25,-1.4496,6
251,S&P500,2019-03-25,0,0
252,GME,2019-03-26,-0.34,1
253,TSLA,2019-03-26,0.5837,6
254,S&P500,2019-03-26,0,0
255,GME,2019-03-27,0.7906000000000002,11
256,TSLA,2019-03-27,5.6279,32
257,S&P500,2019-03-27,0,0
258,GME,2019-03-28,0,0
259,TSLA,2019-03-28,0.6588,2
260,S&P500,2019-03-28,0,0
261,GME,2019-03-29,0.0,1
262,TSLA,2019-03-29,5.4147,27
263,S&P500,2019-03-29,0,0
264,GME,2019-03-30,0,0
265,TSLA,2019-03-30,0,0
266,S&P500,2019-03-30,0,0
267,GME,2019-03-31,0,0
268,TSLA,2019-03-31,0.8748,1
269,S&P500,2019-03-31,0,0
270,GME,2019-04-01,0,0
271,TSLA,2019-04-01,0.0,2
272,S&P500,2019-04-01,0,0
273,GME,2019-04-02,0.9507,4
274,TSLA,2019-04-02,0.27419999999999994,7
275,S&P500,2019-04-02,0,0
276,GME,2019-04-03,-1.7765,3
277,TSLA,2019-04-03,6.6198999999999995,20
278,S&P500,2019-04-03,0,0
279,GME,2019-04-04,0,0
280,TSLA,2019-04-04,-5.057499999999999,60
281,S&P500,2019-04-04,0,0
282,GME,2019-04-05,0,0
283,TSLA,2019-04-05,0.9869000000000002,15
284,S&P500,2019-04-05,0,0
285,GME,2019-04-06,0,0
286,TSLA,2019-04-06,0,0
287,S&P500,2019-04-06,0,0
288,GME,2019-04-07,0,0
289,TSLA,2019-04-07,0.4767,1
290,S&P500,2019-04-07,0,0
291,GME,2019-04-08,0,0
292,TSLA,2019-04-08,-2.3228,8
293,S&P500,2019-04-08,0,0
294,GME,2019-04-09,0,0
295,TSLA,2019-04-09,0,0
296,S&P500,2019-04-09,0,0
297,GME,2019-04-10,0,0
298,TSLA,2019-04-10,3.0931,7
299,S&P500,2019-04-10,0,0
300,GME,2019-04-11,0,0
301,TSLA,2019-04-11,0.1875000000000001,13
302,S&P500,2019-04-11,0,0
303,GME,2019-04-12,0,0
304,TSLA,2019-04-12,-1.1018,14
305,S&P500,2019-04-12,0,0
306,GME,2019-04-13,0,0
307,TSLA,2019-04-13,0.6369,1
308,S&P500,2019-04-13,0,0
309,GME,2019-04-14,0,0
310,TSLA,2019-04-14,0,0
311,S&P500,2019-04-14,0,0
312,GME,2019-04-15,0,0
313,TSLA,2019-04-15,-0.07719999999999999,3
314,S&P500,2019-04-15,0,0
315,GME,2019-04-16,0,0
316,TSLA,2019-04-16,0,0
317,S&P500,2019-04-16,0,0
318,GME,2019-04-17,0,0
319,TSLA,2019-04-17,0.6662,7
320,S&P500,2019-04-17,0,0
321,GME,2019-04-18,0,0
322,TSLA,2019-04-18,0.5116000000000003,10
323,S&P500,2019-04-18,0,0
324,GME,2019-04-19,0,0
